company,careers_url,priority_queries,category,sponsorship_signal,notes
"Lam Research","https://www.lamresearch.com/careers/","Data Analyst; Business Analyst; Manufacturing Analytics; Operations Analyst; Supply Chain Analytics","Semiconductor Equipment","Known H-1B filing signal","Strong process and manufacturing analytics alignment"
"ASML","https://www.asml.com/en/careers/find-your-job","Data Analyst; Business Analyst; Data Science; Operations Analyst; Supply Chain Analytics","Semiconductor Equipment","Known H-1B filing signal","Watch data and supply chain roles in US locations"
"Dell Technologies","https://jobs.dell.com/","Data Analyst; Business Analyst; Data Science; Business Intelligence; Operations Analyst","Hardware / Enterprise Tech","Large H-1B employer signal","Good target for BI and operations analytics"
"HP","https://jobs.hp.com/","Data Analyst; Business Analyst; Data Science; Business Intelligence; Supply Chain Analytics","Hardware","Known H-1B filing signal","Watch supply chain and business analytics"
"Hewlett Packard Enterprise","https://careers.hpe.com/us/en/search-results","Data Analyst; Business Analyst; Data Science; Business Intelligence; Operations Analyst","Enterprise Hardware","Known H-1B filing signal","Good target for cloud and operations analytics"
"Workday","https://workday.wd5.myworkdayjobs.com/Workday","Data Analyst; Business Analyst; Product Analytics; Data Science; Business Operations","Enterprise Software","Known H-1B filing signal","Watch people analytics and product analytics"
"Snowflake","https://careers.snowflake.com/us/en/search-results","Data Analyst; Business Analyst; Data Science; Product Analytics; Sales Operations Analytics","Data Platforms","Known H-1B filing signal","High-fit data platform employer"
"Databricks","https://www.databricks.com/company/careers/open-positions","Data Analyst; Business Analyst; Data Science; Product Analytics; Customer Analytics","Data Platforms","Known H-1B filing signal","High-fit data and AI platform employer"
"Palantir","https://www.palantir.com/careers/","Data Analyst; Deployment Strategist; Data Science; Business Operations; Analytics","Data Platforms","Known H-1B filing signal","Watch role requirements carefully; some roles may need clearance"
"MongoDB","https://www.mongodb.com/careers/jobs","Data Analyst; Business Analyst; Data Science; Product Analytics; Revenue Analytics","Data Platforms","Known H-1B filing signal","Good target for product and revenue analytics"
"Atlassian","https://www.atlassian.com/company/careers/all-jobs","Data Analyst; Business Analyst; Product Analytics; Data Science; Business Operations","Enterprise Software","Known H-1B filing signal","Watch distributed and remote-friendly analytics roles"
"Zoom","https://careers.zoom.us/jobs/search","Data Analyst; Business Analyst; Product Analytics; Data Science; Operations Analytics","Enterprise Software","Known H-1B filing signal","Watch product and business operations analytics"
"Dropbox","https://jobs.dropbox.com/all-jobs","Data Analyst; Product Analyst; Data Science; Business Analytics; Growth Analytics","Enterprise Software","Known H-1B filing signal","Selective; prioritize analytics roles"
"JPMorgan Chase","https://careers.jpmorgan.com/us/en/students/programs","Data Analyst; Business Analyst; Data Science; Operations Analyst; Risk Analyst; Quantitative Analytics","Banking / Finance","Large H-1B employer signal","Strong student and early-career programs; sponsor varies by program"
"Goldman Sachs","https://www.goldmansachs.com/careers/","Data Analyst; Business Analyst; Data Science; Operations Analyst; Risk Analyst; Engineering Analyst","Banking / Finance","Large H-1B employer signal","Watch analyst programs and engineering/data roles"
"Morgan Stanley","https://www.morganstanley.com/people-opportunities/students-graduates","Data Analyst; Business Analyst; Data Science; Operations Analyst; Risk Analyst","Banking / Finance","Large H-1B employer signal","Already appeared in refresh; good early-career target"
"Bank of America","https://careers.bankofamerica.com/en-us","Data Analyst; Business Analyst; Data Science; Operations Analyst; Risk Analyst; Business Intelligence","Banking / Finance","Large H-1B employer signal","Watch analyst development programs and sponsorship wording"
"Citi","https://jobs.citi.com/","Data Analyst; Business Analyst; Data Science; Operations Analyst; Risk Analyst; Business Intelligence","Banking / Finance","Large H-1B employer signal","Large international bank; verify job-specific sponsorship"
"Wells Fargo","https://www.wellsfargojobs.com/","Data Analyst; Business Analyst; Data Science; Operations Analyst; Risk Analyst; Business Intelligence","Banking / Finance","Known H-1B filing signal","Watch risk and operations analytics roles"
"Capital One","https://www.capitalonecareers.com/","Data Analyst; Business Analyst; Data Science; Business Intelligence; Product Analytics","Banking / Fintech","Large H-1B employer signal","Strong analytics employer; some roles may be senior"
"American Express","https://www.americanexpress.com/en-us/careers/","Data Analyst; Business Analyst; Data Science; Risk Analyst; Marketing Analytics","Financial Services","Known H-1B filing signal","Good target for risk and customer analytics"
"Bloomberg","https://www.bloomberg.com/company/careers/working-here/","Data Analyst; Data Science; Business Analyst; Analytics; Data Specialist","Financial Data","Known H-1B filing signal","Strong data-centered employer"
"BlackRock","https://careers.blackrock.com/","Data Analyst; Business Analyst; Data Science; Aladdin Analytics; Risk Analyst","Asset Management","Known H-1B filing signal","Watch Aladdin and risk analytics roles"
"BNY","https://www.bny.com/corporate/global/en/careers.html","Data Analyst; Business Analyst; Data Science; Operations Analyst; Risk Analyst","Financial Services","Known H-1B filing signal","Good operations and risk analytics target"
"Fidelity Investments","https://jobs.fidelity.com/","Data Analyst; Business Analyst; Data Science; Business Intelligence; Operations Analyst","Financial Services","Known H-1B filing signal","Watch early-career and data development programs"
"Charles Schwab","https://www.schwabjobs.com/","Data Analyst; Business Analyst; Data Science; Risk Analyst; Business Intelligence","Financial Services","Known H-1B filing signal","Good BI and risk analytics target"
"S&P Global","https://www.spglobal.com/en/careers","Data Analyst; Data Science; Business Analyst; Ratings Data; Market Intelligence","Financial Data","Known H-1B filing signal","Strong data provider with analytics roles"
"Moody's","https://careers.moodys.com/","Data Analyst; Business Analyst; Data Science; Risk Analytics; Financial Data","Financial Data","Known H-1B filing signal","Good fit for analytics and risk data roles"
"Accenture","https://www.accenture.com/us-en/careers/jobsearch","Data Analyst; Business Analyst; Data Science Analyst; Analytics Consultant; Business Intelligence","Consulting","Large H-1B employer signal","High sponsor signal; confirm role quality and location"
"Deloitte","https://apply.deloitte.com/careers/SearchJobs","Data Analyst; Business Analyst; Analytics Consultant; Data Science; Business Intelligence","Consulting","Large H-1B employer signal","Sponsorship varies by practice and campus program"
"EY","https://careers.ey.com/ey/search/","Data Analyst; Business Analyst; Analytics Consultant; Data Science; Technology Consulting","Consulting","Large H-1B employer signal","Sponsorship varies; check job posting language"
"PwC","https://jobs.us.pwc.com/","Data Analyst; Business Analyst; Analytics Consultant; Data Science; Technology Consulting","Consulting","Known H-1B filing signal","Sponsorship varies by team and program"
"KPMG","https://kpmg.com/us/en/careers.html","Data Analyst; Business Analyst; Analytics Consultant; Data Science; Technology Assurance","Consulting","Known H-1B filing signal","Sponsorship varies; verify early-career postings"
"McKinsey & Company","https://www.mckinsey.com/careers/search-jobs","Data Analyst; Business Analyst; Data Science; Analytics; Operations Analyst","Consulting","Known H-1B filing signal","Watch analytics and knowledge roles; high bar"
"Boston Consulting Group","https://careers.bcg.com/search","Data Analyst; Business Analyst; Data Science; Analytics; Knowledge Analyst","Consulting","Known H-1B filing signal","Watch BCG X and analytics roles"
"Bain & Company","https://www.bain.com/careers/find-a-role/","Data Analyst; Business Analyst; Data Science; Advanced Analytics; Associate Consultant","Consulting","Known H-1B filing signal","Watch analytics and AC roles"
"Infosys","https://www.infosys.com/careers/apply.html","Data Analyst; Business Analyst; Data Science; BI Analyst; Analytics Consultant","IT Services","Large H-1B employer signal","Very high-volume sponsor signal; role quality varies"
"Tata Consultancy Services","https://www.tcs.com/careers/united-states","Data Analyst; Business Analyst; Data Science; BI Analyst; Analytics Consultant","IT Services","Large H-1B employer signal","Very high-volume sponsor signal; verify client location"
"Cognizant","https://careers.cognizant.com/us-en/jobs/","Data Analyst; Business Analyst; Data Science; BI Analyst; Analytics Consultant","IT Services","Large H-1B employer signal","High sponsor signal; verify role and client assignment"
"Wipro","https://careers.wipro.com/careers-home/jobs","Data Analyst; Business Analyst; Data Science; BI Analyst; Analytics Consultant","IT Services","Large H-1B employer signal","High sponsor signal; role quality varies"
"HCLTech","https://www.hcltech.com/careers/Careers-in-united-states","Data Analyst; Business Analyst; Data Science; BI Analyst; Analytics Consultant","IT Services","Large H-1B employer signal","High sponsor signal; verify client work and location"
"Capgemini","https://www.capgemini.com/us-en/careers/job-search/","Data Analyst; Business Analyst; Data Science; Analytics Consultant; BI Analyst","IT Services / Consulting","Known H-1B filing signal","Good consulting analytics target"
"Tech Mahindra","https://www.techmahindra.com/en-in/careers/","Data Analyst; Business Analyst; Data Science; BI Analyst; Analytics Consultant","IT Services","Known H-1B filing signal","High sponsor signal; verify US posting details"
"L&T Technology Services","https://www.ltts.com/careers","Data Analyst; Business Analyst; Data Science; Operations Analytics; Engineering Analytics","Engineering Services","Known H-1B filing signal","Strong engineering analytics alignment"
"EPAM Systems","https://www.epam.com/careers/job-listings","Data Analyst; Business Analyst; Data Science; BI Analyst; Analytics Consultant","IT Services","Known H-1B filing signal","Watch data and analytics consulting roles"
"Globant","https://www.globant.com/careers","Data Analyst; Business Analyst; Data Science; BI Analyst; Analytics Consultant","IT Services","Known H-1B filing signal","Watch data studio and analytics roles"
"UnitedHealth Group / Optum","https://careers.unitedhealthgroup.com/","Data Analyst; Business Analyst; Data Science; Healthcare Analytics; Operations Analyst","Healthcare / Insurance","Large H-1B employer signal","Strong target for healthcare analytics"
"CVS Health","https://jobs.cvshealth.com/us/en","Data Analyst; Business Analyst; Data Science; Healthcare Analytics; Operations Analyst","Healthcare / Retail","Known H-1B filing signal","Watch analytics roles in Aetna and pharmacy operations"
"Elevance Health","https://careers.elevancehealth.com/","Data Analyst; Business Analyst; Data Science; Healthcare Analytics; Operations Analyst","Healthcare / Insurance","Known H-1B filing signal","Good healthcare analytics target"
"Cigna / Evernorth","https://jobs.thecignagroup.com/us/en","Data Analyst; Business Analyst; Data Science; Healthcare Analytics; Operations Analyst","Healthcare / Insurance","Known H-1B filing signal","Watch healthcare data and operations analytics"
"Johnson & Johnson","https://www.careers.jnj.com/en/jobs","Data Analyst; Business Analyst; Data Science; Supply Chain Analytics; Healthcare Analytics","Pharma / Medical Devices","Known H-1B filing signal","Good supply chain and healthcare analytics target"
"Pfizer","https://www.pfizer.com/about/careers","Data Analyst; Business Analyst; Data Science; Commercial Analytics; Supply Chain Analytics","Pharma","Known H-1B filing signal","Watch commercial analytics and data science roles"
"Merck","https://jobs.merck.com/us/en","Data Analyst; Business Analyst; Data Science; Commercial Analytics; Manufacturing Analytics","Pharma","Known H-1B filing signal","Good pharma analytics and manufacturing target"
"Bristol Myers Squibb","https://careers.bms.com/jobs","Data Analyst; Business Analyst; Data Science; Commercial Analytics; Supply Chain Analytics","Pharma","Known H-1B filing signal","Watch analytics and operations roles"
"Eli Lilly","https://careers.lilly.com/us/en","Data Analyst; Business Analyst; Data Science; Manufacturing Analytics; Commercial Analytics","Pharma","Known H-1B filing signal","Strong manufacturing and commercial analytics fit"
"Novartis","https://www.novartis.com/careers/career-search","Data Analyst; Business Analyst; Data Science; Commercial Analytics; Healthcare Analytics","Pharma","Known H-1B filing signal","Watch US analytics and data science roles"
"Roche / Genentech","https://careers.gene.com/us/en","Data Analyst; Business Analyst; Data Science; Healthcare Analytics; Commercial Analytics","Biotech / Pharma","Known H-1B filing signal","Strong analytics target in biotech"
"Amgen","https://careers.amgen.com/","Data Analyst; Business Analyst; Data Science; Manufacturing Analytics; Commercial Analytics","Biotech","Known H-1B filing signal","Good manufacturing and commercial analytics fit"
"Gilead Sciences","https://www.gilead.com/careers/careers-at-gilead","Data Analyst; Business Analyst; Data Science; Commercial Analytics; Healthcare Analytics","Biotech","Known H-1B filing signal","Watch analytics roles in California"
"Abbott","https://www.jobs.abbott/us/en","Data Analyst; Business Analyst; Data Science; Manufacturing Analytics; Supply Chain Analytics","Medical Devices","Known H-1B filing signal","Strong operations and manufacturing fit"
"Medtronic","https://medtronic.eightfold.ai/careers","Data Analyst; Business Analyst; Data Science; Manufacturing Analytics; Supply Chain Analytics","Medical Devices","Known H-1B filing signal","Good healthcare operations analytics target"
"Thermo Fisher Scientific","https://jobs.thermofisher.com/global/en","Data Analyst; Business Analyst; Data Science; Operations Analyst; Supply Chain Analytics","Life Sciences Tools","Known H-1B filing signal","Watch supply chain and operations analytics"
"IQVIA","https://jobs.iqvia.com/en","Data Analyst; Business Analyst; Data Science; Healthcare Analytics; Clinical Data Analyst","Healthcare Data / CRO","Large H-1B employer signal","Strong data and analytics sponsor signal"
"Walmart","https://careers.walmart.com/","Data Analyst; Business Analyst; Data Science; Business Intelligence; Supply Chain Analytics","Retail / Tech","Large H-1B employer signal","Strong analytics and supply chain target"
"Target","https://jobs.target.com/","Data Analyst; Business Analyst; Data Science; Business Intelligence; Supply Chain Analytics","Retail","Known H-1B filing signal","Watch HQ analytics and supply chain roles"
"Home Depot","https://careers.homedepot.com/","Data Analyst; Business Analyst; Data Science; Business Intelligence; Supply Chain Analytics","Retail","Known H-1B filing signal","Good supply chain analytics target"
"Lowe's","https://talent.lowes.com/us/en","Data Analyst; Business Analyst; Data Science; Business Intelligence; Supply Chain Analytics","Retail","Known H-1B filing signal","Watch retail analytics and operations roles"
"Nike","https://jobs.nike.com/","Data Analyst; Business Analyst; Data Science; Consumer Analytics; Supply Chain Analytics","Retail / Consumer","Known H-1B filing signal","Good consumer and supply chain analytics target"
"Starbucks","https://www.starbucks.com/careers/","Data Analyst; Business Analyst; Data Science; Business Intelligence; Supply Chain Analytics","Retail / Consumer","Known H-1B filing signal","Watch corporate analytics roles"
"Procter & Gamble","https://www.pgcareers.com/","Data Analyst; Business Analyst; Data Science; Consumer Analytics; Supply Chain Analytics","Consumer Goods","Known H-1B filing signal","Good operations and consumer analytics target"
"PepsiCo","https://www.pepsicojobs.com/","Data Analyst; Business Analyst; Data Science; Revenue Analytics; Supply Chain Analytics","Consumer Goods","Known H-1B filing signal","Strong supply chain and commercial analytics target"
"Coca-Cola","https://www.coca-colacompany.com/careers","Data Analyst; Business Analyst; Data Science; Commercial Analytics; Supply Chain Analytics","Consumer Goods","Known H-1B filing signal","Watch corporate analytics roles"
"Mondelez International","https://www.mondelezinternational.com/careers/","Data Analyst; Business Analyst; Data Science; Commercial Analytics; Supply Chain Analytics","Consumer Goods","Known H-1B filing signal","Good consumer and supply chain analytics target"
"Unilever","https://careers.unilever.com/","Data Analyst; Business Analyst; Data Science; Consumer Analytics; Supply Chain Analytics","Consumer Goods","Known H-1B filing signal","Watch US analytics roles"
"FedEx","https://careers.fedex.com/","Data Analyst; Business Analyst; Data Science; Operations Analyst; Logistics Analytics","Logistics","Known H-1B filing signal","Strong operations and logistics analytics fit"
"UPS","https://www.jobs-ups.com/","Data Analyst; Business Analyst; Data Science; Operations Analyst; Logistics Analytics","Logistics","Known H-1B filing signal","Good operations analytics target"
"General Motors","https://search-careers.gm.com/en/jobs/","Data Analyst; Business Analyst; Data Science; Manufacturing Analytics; Supply Chain Analytics","Automotive","Known H-1B filing signal","Strong manufacturing analytics fit"
"Ford","https://efds.fa.em5.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1","Data Analyst; Business Analyst; Data Science; Manufacturing Analytics; Supply Chain Analytics","Automotive","Known H-1B filing signal","Strong automotive analytics fit"
"Tesla","https://www.tesla.com/careers/search","Data Analyst; Business Analyst; Data Science; Manufacturing Analytics; Operations Analyst","Automotive / Energy","Known H-1B filing signal","Strong manufacturing and operations analytics target"
"Rivian","https://rivian.com/careers","Data Analyst; Business Analyst; Data Science; Manufacturing Analytics; Operations Analyst","Automotive / EV","Known H-1B filing signal","Watch operations and supply chain analytics"
"Toyota North America","https://careers.toyota.com/us/en","Data Analyst; Business Analyst; Data Science; Manufacturing Analytics; Supply Chain Analytics","Automotive","Known H-1B filing signal","Strong automotive operations analytics target"
"Honda","https://hondajobs.com/","Data Analyst; Business Analyst; Data Science; Manufacturing Analytics; Supply Chain Analytics","Automotive","Known H-1B filing signal","Watch manufacturing and supply chain analytics"
"Boeing","https://jobs.boeing.com/","Data Analyst; Business Analyst; Data Science; Manufacturing Analytics; Supply Chain Analytics","Aerospace","Known H-1B filing signal","Some roles need clearance; screen carefully"
"GE Aerospace","https://jobs.gecareers.com/aviation/global/en","Data Analyst; Business Analyst; Data Science; Manufacturing Analytics; Operations Analyst","Aerospace / Industrial","Known H-1B filing signal","Strong manufacturing analytics target"
"Honeywell","https://careers.honeywell.com/us/en","Data Analyst; Business Analyst; Data Science; Manufacturing Analytics; Supply Chain Analytics","Industrial","Known H-1B filing signal","Good operations and manufacturing analytics target"
"Siemens","https://jobs.siemens.com/careers","Data Analyst; Business Analyst; Data Science; Manufacturing Analytics; Operations Analyst","Industrial","Known H-1B filing signal","Strong industrial data target"
"Caterpillar","https://careers.caterpillar.com/en/jobs/","Data Analyst; Business Analyst; Data Science; Manufacturing Analytics; Supply Chain Analytics","Industrial / Manufacturing","Known H-1B filing signal","Strong manufacturing and supply chain analytics fit"
"John Deere","https://www.deere.com/en/our-company/john-deere-careers/","Data Analyst; Business Analyst; Data Science; Manufacturing Analytics; Supply Chain Analytics","Industrial / Manufacturing","Known H-1B filing signal","Strong operations analytics fit"
"Cummins","https://www.cummins.com/careers","Data Analyst; Business Analyst; Data Science; Manufacturing Analytics; Supply Chain Analytics","Industrial / Manufacturing","Known H-1B filing signal","Good manufacturing analytics target"
"3M","https://www.3m.com/3M/en_US/careers-us/","Data Analyst; Business Analyst; Data Science; Manufacturing Analytics; Supply Chain Analytics","Industrial / Manufacturing","Known H-1B filing signal","Good operations analytics target"
"Comcast / NBCUniversal","https://jobs.comcast.com/","Data Analyst; Business Analyst; Data Science; Product Analytics; Marketing Analytics","Telecom / Media","Known H-1B filing signal","Watch Comcast and NBCUniversal analytics roles"
"Disney","https://www.disneycareers.com/en/search_jobs/search-results?c=US","Data Analyst; Business Analyst; Data Science and Analytics; Technology; Operations; Internships","Media / Entertainment","Known H-1B filing signal","Watch Disney ESPN Experiences and Product and Technology"
"Warner Bros. Discovery","https://careers.wbd.com/global/en","Data Analyst; Business Analyst; Data Science; Product Analytics; Marketing Analytics","Media / Entertainment","Known H-1B filing signal","Watch streaming and ad analytics"
"Paramount","https://www.paramount.com/careers","Data Analyst; Business Analyst; Data Science; Product Analytics; Marketing Analytics","Media / Entertainment","Known H-1B filing signal","Watch streaming and content analytics"
